Measuring Drosophila (fruit fly) activity during microgravity exposure,11543046,,"Important advances in the understanding of the aging process could be obtained through comprehension of the changes experienced by Drosophila melanogaster (fruit flies) during microgravity. Previous experiments flown on Cosmos satellites and various Space Shuttle missions have shown a significant decrease in the life span of young male Drosophila after microgravity exposure. Additionally, postflight analysis indicated an accelerated aging of the microgravity exposed male flies since they exhibited a significant decrease in mating ability and a consistently lower negative geotaxis response than the 1 g ground controls. The negative geotaxis response is the Drosophila's reaction to move opposite to the Earth's gravitational vector when disturbed in certain manners. Researchers have hypothesized that the accelerated aging, is due to an increased locomotor activity which causes a subsequent increase in mitochondrial activity. The increased mitochondrial activity, in turn, causes increased aging through accelerated damage to the mitochondrial system. An increase in locomotor activity was indicated by analyzing only a fraction (1/6th of a second) of the 15 minute video recordings of groups of Drosophila taken approximately every two days during a 14-day Space Shuttle flight. The increased locomotor activity may be related to the Drosophila's negative geotaxis response in that the flies may be reacting to the absence of normal gravity by continuously searching for the gravity vector. The aims of this study are to develop methods to accurately measure individual Drosophila activity, use these derived methods in 1 g to create a Drosophila activity baseline, and use the methods during short and long duration microgravity exposure (sounding rockets, parabolic flights, Space Shuttle, International Space Station, etc.) to examine Drosophila activity. The role of the negative geotaxis response on locomotor activity will be examined by using two strains of behaviorally selected Drosophila, one that exhibits a large or hyper negative geotaxis response and another that has a positive geotaxis response, in addition to examining flies with a normal or negative geotaxis response.",1999,"M S Miller, T S Keller, M S Miller, M S Miller, T S Keller, M S Miller"
Dynamic genetic interactions determine odor-guided behavior in Drosophila melanogaster,17028343,10.1534/genetics.106.060574,"Understanding the genetic architecture of complex traits requires identification of the underlying genes and characterization of gene-by-gene and genotype-by-environment interactions. Behaviors that mediate interactions between organisms and their environment are complex traits expected to be especially sensitive to environmental conditions. Previous studies on the olfactory avoidance response of Drosophila melanogaster showed that the genetic architecture of this model behavior depends on epistatic networks of pleiotropic genes. We performed a screen of 1339 co-isogenic p[GT1]-element insertion lines to identify novel genes that contribute to odor-guided behavior and identified 55 candidate genes with known p[GT1]-element insertion sites. Characterization of the expression profiles of 10 p[GT1]-element insertion lines showed that the effects of the transposon insertions are often dependent on developmental stage and that hypomorphic mutations in developmental genes can elicit profound adult behavioral deficits. We assessed epistasis among these genes by constructing all possible double heterozygotes and measuring avoidance responses under two stimulus conditions. We observed enhancer and suppressor effects among subsets of these P-element-tagged genes, and surprisingly, epistatic interactions shifted with changes in the concentration of the olfactory stimulus. Our results show that the manifestation of epistatic networks dynamically changes with alterations in the environment.",2006,"Deepa Sambandan, Akihiko Yamamoto, Juan-JosÃ© Fanara, Trudy F C Mackay, Robert R H Anholt, Deepa Sambandan, Akihiko Yamamoto, Juan-JosÃ© Fanara, Trudy F C Mackay, Robert R H Anholt"
Quantitative trait loci for thermotolerance phenotypes in Drosophila melanogaster,16404413,10.1038/sj.hdy.6800786,"For insects, temperature is a major environmental variable that can influence an individual's behavioral activities and fitness. Drosophila melanogaster is a cosmopolitan species that has had great success in adapting to and colonizing diverse thermal niches. This adaptation and colonization has resulted in complex patterns of genetic variation in thermotolerance phenotypes in nature. Although extensive work has been conducted documenting patterns of genetic variation, substantially less is known about the genomic regions or genes that underlie this ecologically and evolutionarily important genetic variation. To begin to understand and identify the genes controlling thermotolerance phenotypes, we have used a mapping population of recombinant inbred (RI) lines to map quantitative trait loci (QTL) that affect variation in both heat- and cold-stress resistance. The mapping population was derived from a cross between two lines of D. melanogaster (Oregon-R and 2b) that were not selected for thermotolerance phenotypes, but exhibit significant genetic divergence for both phenotypes. Using a design in which each RI line was backcrossed to both parental lines, we mapped seven QTL affecting thermotolerance on the second and third chromosomes. Three of the QTL influence cold-stress resistance and four affect heat-stress resistance. Most of the QTL were trait or sex specific, suggesting that overlapping but generally unique genetic architectures underlie resistance to low- and high-temperature extremes. Each QTL explained between 5 and 14% of the genetic variance among lines, and degrees of dominance ranged from completely additive to partial dominance. Potential thermotolerance candidate loci contained within our QTL regions are identified and discussed.",2006,"T J Morgan, T F C Mackay, T J Morgan, T F C Mackay"
The Drosophila melanogaster Cajal body,16533947,10.1083/jcb.200511038,"Cajal bodies (CBs) are nuclear organelles that are usually identified by the marker protein p80-coilin. Because no orthologue of coilin is known in Drosophila melanogaster, we identified D. melanogaster CBs using probes for other components that are relatively diagnostic for CBs in vertebrate cells. U85 small CB-specific RNA, U2 small nuclear RNA, the survival of motor neurons protein, and fibrillarin occur together in a nuclear body that is closely associated with the nucleolus. Based on its similarity to CBs in other organisms, we refer to this structure as the D. melanogaster CB. Surprisingly, the D. melanogaster U7 small nuclear RNP resides in a separate nuclear body, which we call the histone locus body (HLB). The HLB is invariably colocalized with the histone gene locus. Thus, canonical CB components are distributed into at least two nuclear bodies in D. melanogaster. The identification of these nuclear bodies now permits a broad range of questions to be asked about CB structure and function in a genetically tractable organism.",2006,"Ji-Long Liu, Christine Murphy, Michael Buszczak, Sarah Clatterbuck, Robyn Goodman, Joseph G Gall"
The enzymatic function of tafazzin,17082194,10.1074/jbc.M606100200,"Tafazzin is a putative enzyme that is involved in cardiolipin metabolism, it may carry mutations responsible for Barth syndrome. To identify the biochemical reaction catalyzed by tafazzin, we expressed the full-length isoform of Drosophila melanogaster tafazzin in a baculovirus-Sf9 insect cell system. Tafazzin expression induced a new enzymatic function in Sf9 cell mitochondria, namely 1-palmitoyl-2-[14C]linoleoyl-phosphatidylcholine:monolysocardiolipin linoleoyltransferase. We also found evidence for the reverse reaction, because tafazzin expression caused transfer of acyl groups from phospholipids to 1-[14C]palmitoyl-2-lyso-phosphatidylcholine. An affinity-purified tafazzin construct, tagged with the maltose-binding protein, catalyzed both forward and reverse transacylations between cardiolipin and phosphatidylcholine, but was unable to utilize CoA or acyl-CoA as substrates. Whereas tafazzin supported transacylations between various phospholipid-lysophospholipid pairs, it showed the highest rate for the phosphatidylcholine-cardiolipin transacylation. Transacylation activities were about 10-fold higher for linoleoyl groups than for oleoyl groups, and they were negligible for arachidonoyl groups. The data show that Drosophila tafazzin is a CoA-independent, acyl-specific phospholipid transacylase with substrate preference for cardiolipin and phosphatidylcholine.",2006,"Yang Xu, Ashim Malhotra, Mindong Ren, Michael Schlame, Yang Xu, Ashim Malhotra, Mindong Ren, Michael Schlame"
[Diversity of mechanisms and functions of enzyme systems of DNA repair in Drosophila melanogaster],16756065,,"The review presents a description and comparative analysis of the known enzymatic systems of DNA repair in Drosophila melanogaster. Data on protein products, mechanisms of action, and the involvement of the repair system elements in other cellular processes are summarized.",2006,"E V Chmuzh, L A Shestakova, V S Volkova, I K Zakharov, E V Chmuzh, L A Shestakova, V S Volkova, I K Zakharov"
Similarities and differences of polyadenylation signals in human and fly,16836751,10.1186/1471-2164-7-176,"Background:
      
    

    
      Cleavage of messenger RNA (mRNA) precursors is an essential step in mRNA maturation. The signal recognized by the cleavage enzyme complex has been characterized as an A rich region upstream of the cleavage site containing a motif with consensus AAUAAA, followed by a U or UG rich region downstream of the cleavage site.
    

    
  


        Results:
      
    

    
      We studied these signals using exhaustive databases of cleavage sites obtained from aligning raw expressed sequence tags (EST) sequences to genomic sequences in Homo sapiens and Drosophila melanogaster. These data show that the polyadenylation signal is highly conserved in human and fly. In addition, de novo motif searches generated a refined description of the U-rich downstream sequence (DSE) element, which shows more divergence between the two species. These refined motifs are applied, within a Hidden Markov Model (HMM) framework, to predict mRNA cleavage sites.
    

    
  


        Conclusion:
      
    

    
      We demonstrate that the DSE is a specific motif in both human and Drosophila. These findings shed light on the sequence correlates of a highly conserved biological process, and improve in silico prediction of 3' mRNA cleavage and polyadenylation sites.",2006,"Dorota Retelska, Christian Iseli, Philipp Bucher, C Victor Jongeneel, Felix Naef, Dorota Retelska, Christian Iseli, Philipp Bucher, C Victor Jongeneel, Felix Naef"
Inhibitory activity of the Drosophila melanogaster serpin Necrotic is dependent on lysine residues in the D-helix,16835244,10.1074/jbc.M606085200,"Necrotic is a member of the serine protease inhibitor or serpin superfamily. It is a potent inhibitor of elastase and chymotrypsin type proteases and is responsible for regulating the anti-fungal response in Drosophila melanogaster. Necrotic contains three basic lysine residues within the D-helix that are homologous to those found in the heparin-binding domain of antithrombin and heparin co-factor II. We show here that substitution of all three lysine residues for glutamines caused cellular necrosis and premature death in Drosophila in keeping with a loss of function phenotype. The lysine to glutamine substitutions had no effect on the overall structure of recombinant Necrotic protein but abolished the formation of stable complexes with target proteases. Individual substitutions with either glutamine or alanine demonstrated that lysine 68 was the most critical residue for inhibitory activity. Despite the homology to other serpins, Necrotic did not bind, nor was it activated by sulfated glycans. These data demonstrate a critical role for basic residues within the D-helix (and lysine 68 in particular) in the inhibitory mechanism of the serpin Necrotic.",2006,"Andrew S Robertson, Didier Belorgey, David Gubb, Timothy R Dafforn, David A Lomas, Andrew S Robertson, Didier Belorgey, David Gubb, Timothy R Dafforn, David A Lomas"
Characterization of the Drosophila melanogaster genome at the nuclear lamina,16878134,10.1038/ng1852,"The nuclear lamina binds chromatin in vitro and is thought to function in its organization, but genes that interact with it are unknown. Using an in vivo approach, we identified approximately 500 Drosophila melanogaster genes that interact with B-type lamin (Lam). These genes are transcriptionally silent and late replicating, lack active histone marks and are widely spaced. These factors collectively predict lamin binding behavior, indicating that the nuclear lamina integrates variant and invariant chromatin features. Consistently, proximity of genomic regions to the nuclear lamina is partly conserved between cell types, and induction of gene expression or active histone marks reduces Lam binding. Lam target genes cluster in the genome, and these clusters are coordinately expressed during development. This genome-wide analysis gives clear insight into the nature and dynamic behavior of the genome at the nuclear lamina, and implies that intergenic DNA functions in the global organization of chromatin in the nucleus.",2006,"Helen Pickersgill, Bernike Kalverda, Elzo de Wit, Wendy Talhout, Maarten Fornerod, Bas van Steensel, Helen Pickersgill, Bernike Kalverda, Elzo de Wit, Wendy Talhout, Maarten Fornerod, Bas van Steensel"
Reverse engineering the gap gene network of Drosophila melanogaster,16710449,10.1371/journal.pcbi.0020051,"A fundamental problem in functional genomics is to determine the structure and dynamics of genetic networks based on expression data. We describe a new strategy for solving this problem and apply it to recently published data on early Drosophila melanogaster development. Our method is orders of magnitude faster than current fitting methods and allows us to fit different types of rules for expressing regulatory relationships. Specifically, we use our approach to fit models using a smooth nonlinear formalism for modeling gene regulation (gene circuits) as well as models using logical rules based on activation and repression thresholds for transcription factors. Our technique also allows us to infer regulatory relationships de novo or to test network structures suggested by the literature. We fit a series of models to test several outstanding questions about gap gene regulation, including regulation of and by hunchback and the role of autoactivation. Based on our modeling results and validation against the experimental literature, we propose a revised network structure for the gap gene system. Interestingly, some relationships in standard textbook models of gap gene regulation appear to be unnecessary for or even inconsistent with the details of gap gene expression during wild-type development.",2006,"Theodore J Perkins, Johannes Jaeger, John Reinitz, Leon Glass, Theodore J Perkins, Johannes Jaeger, John Reinitz, Leon Glass"
Conserved arrangement of nested genes at the Drosophila Gart locus,3123310,,"The Drosophila melanogaster Gart gene encodes three enzymatic activities in the pathway for purine de novo synthesis. Alternative processing of the primary transcript leads to the synthesis of two overlapping polypeptides. The coding sequence for both polypeptides is interrupted by an intron that contains a functional cuticle protein gene encoded on the opposite DNA strand. Here we show that this nested organization also exists at the homologous locus of a distantly related species, Drosophila pseudoobscura. In both species, the intronic cuticle gene is expressed in wandering larvae and in prepupae. Remarkably, there are 24 different highly conserved noncoding segments within the intron containing the cuticle gene. These are found upstream of the transcriptional start, at the 3' end, and even within the single intronic gene intron. Other introns in the purine gene, including the intron at which alternative processing occurs, show no such homologies. It seems likely that at least some of the conserved noncoding regions are involved in specifying the high level developmental expression of the cuticle gene. We discuss the possibility that shared cis-acting regulatory sites might enhance transcription of both genes and help explain their nested arrangement.",1987,"S Henikoff, M K Eghtedarzadeh, S Henikoff, M K Eghtedarzadeh"
Isolation and characterization of the gene for myosin light chain two of Drosophila melanogaster,3025224,10.1083/jcb.104.1.19,"A recombinant lambda-phage DNA clone containing Drosophila melanogaster sequences encoding the gene for myosin light chain (MLC) two has been isolated from a library of randomly sheared DNA. The Drosophila MLC2 gene is located in region 99E1-3 on the right arm of chromosome 3, several bands removed from the site reported for the other myosin light chain gene at 98B. The MLC2 sequence at 99E1-3 appears to encode all of the isoforms of Drosophila MLC2. The polypeptide encoded at 99E was identified as MLC2 by the following criteria: the in vitro translation product is identical in size to MLC2 isolated from Drosophila muscle, and on two-dimensional gels the in vitro translation product can be separated into two or more peptides that co-migrate with isoforms of larval and thoracic MLC2. RNA encoding the polypeptide was detected in embryos only after the onset of muscle differentiation and was also abundant in adult thoracic muscle. The nucleotide sequence of cDNA generated from late embryonic RNA would be translated to yield a protein sequence with multiple regions of homology to vertebrate MLC2. (There are shorter regions of homology to vertebrate MLC1). Like a number of vertebrate muscle proteins, Drosophila MLC2 has an acetylated amino-terminus.",1987,"J Toffenetti, D Mischke, M L Pardue, J Toffenetti, D Mischke, M L Pardue"
Restriction of P-element insertions at the Notch locus of Drosophila melanogaster,3037327,10.1128/mcb.7.4.1545,"P elements move about the Drosophila melanogaster genome in a nonrandom fashion, preferring some chromosomal targets for insertion over others (J. C. J. Eeken, F. H. Sobels, V. Hyland, and A. P. Schalet, Mutat. Res. 150:261-275, 1985; W. R. Engels, Annu. Rev. Genet. 17:315-344, 1983; M. D. Golubovsky, Y. N. Ivanov, and M. M. Green, Proc. Natl. Acad. Sci. USA 74:2973-2975, 1977; M. J. Simmons and J. K. Lim, Proc. Natl. Acad. Sci. USA 77:6042-6046, 1980). Some of this specificity may be due to recognition of a particular DNA sequence in the target DNA; derivatives of an 8-base-pair consensus sequence are occupied by these transposable elements at many different chromosomal locations (K. O'Hare and G. M. Rubin, Cell 34:25-36, 1983). An additional level of specificity of P-element insertions is described in this paper. Of 14 mutations induced in the complex locus Notch by hybrid dysgenesis, 13 involved P-element insertions at or near the transcription start site of the gene. This clustering was not seen in other transposable element-induced mutations of Notch. DNA sequences homologous to the previously described consensus target for P-element insertion are not preferentially located in this region of the locus. The choice of a chromosomal site for integration appears to be based on more subtle variations in chromosome structure that are probably associated with activation or expression of the target gene.",1987,"M R Kelley, S Kidd, R L Berg, M W Young, M R Kelley, S Kidd, R L Berg, M W Young"
Parasite-induced enhancement of hemolymph tyrosinase activity in a selected immune reactive strain of Drosophila melanogaster,1932781,10.1002/arch.940180304,"Larval hemolymph tyrosinase activity in Drosophila melanogaster was detected with high performance liquid chromatography with electrochemical detection. The enzyme hydroxylated L-tyrosine, and oxidized the diphenol substrates L-dopa and dopamine. In larvae of a selected immune-reactive strain the rates of tyrosine hydroxylation, dopa oxidation, and dopamine oxidation were markedly increased during the early stages of melanotic encapsulation of the eggs of the parasitic wasp Leptopilina boulardi. Tyrosinase activity was not modified in parasitized larvae of a selected susceptible strain of D. melanogaster, in which hosts the parasitoids developed unmolested. During the same period of parasitization, the amount of free tyrosine in immune reactive larvae was approximately three times higher than in susceptible hosts. These data indicate that the tyrosinase system of the immune reactive strain is activated during parasitization, and this results in the synthesis of some precursors which ultimately produce a melanotic and sclerotic capsule around the eggs of the parasite. Based on known genetic information of the enzyme system in Drosophila, it appears that at least two genes may be involved in the activation process, one associated with the proenzyme for monophenol oxidase activity, and the second with the proenzyme for diphenol oxidase activity.",1991,"A J Nappi, Y Carton, F Frey, A J Nappi, Y Carton, F Frey"
Distribution of hobo transposable elements in natural populations of Drosophila melanogaster,1712890,10.1093/oxfordjournals.molbev.a040649,"Forty-six strains derived from American and French natural populations of Drosophila melanogaster were tested for the presence and activity of hobo elements by using Southern blotting and a gonadal dysgenesis assay. The oldest available strains exhibited weak detectable hybridization to the hobo-element probe and revealed neither hobo-activity potential nor hobo-repression potential. In contrast, all recently collected strains harbored hobo sequences and revealed a strong hobo-repression potential but no strong hobo-activity potential. On the basis of restriction-enzyme analysis, old strains appear to have numerous fragments hybridizable to hobo sequences, several probably conserved at the same locations in the genome of the tested strain and others dispersed. In recently isolated strains, and unlike the situation in the published sequence of the cloned hobo108 element, a PvuII site is present in the great majority of full-sized hobo elements and their deletion derivatives. When the genetic and molecular characteristics are considered together, the available evidence is consistent with the hypothesis of a worldwide hobo-element invasion of D. melanogaster during the past 50 years. Comparison of data from the I-R and P-M systems suggests that the putative invasion followed the introduction of the I element but preceded that of the P element. This hypothesis poses the problem of the plausibility of three virtually simultaneous element invasions in this species. Such a possibility might be due to a modification of the genetic structure of American populations of D. melanogaster during the first part of the 20th century.",1991,"L Pascual, G Periquet, L Pascual, G Periquet"
Interspecific comparisons of the structure and regulation of the Drosophila ecdysone-inducible gene E74,2016053,,"The Drosophila melanogaster E74 gene is induced directly by the steroid hormone ecdysone and is a member of a small set of ""early"" genes that appear to trigger the onset of metamorphosis. The gene consists of three overlapping transcription units encoding two proteins, E74A and E74B, which possess a common C terminus. According to the Ashburner model for ecdysone's action, an E74 protein product potentially functions as a transcriptional activator of ""late"" genes as well as a repressor of early genes. We have taken an evolutionary approach to understand the function and regulation of E74 by isolating the homologous genes from Drosophila pseudoobscura and Drosophila virilis and comparing them to D. melanogaster E74 sequences. Conserved characteristics of the E74 genes include ecdysone inducibility, localization to ecdysone-induced polytene chromosome puffs, and gene size. Amino acid sequence comparisons of the E74A protein reveal a highly conserved C-terminal region that is rich in basic amino acid residues and which has been proposed to possess sequence-specific DNA binding activity. The moderately conserved N-terminal region has maintained its overall acidic character and is a potential transcriptional activator domain. The central region contains conserved glutamine and alanine homopolymeric repeats of variable lengths. Nucleotide sequence comparisons of the E74A promoter region fail to reveal ecdysone-response elements but do identify conserved sequences that may function in E74A regulation.",1991,"C W Jones, M W Dalton, L H Townley, C W Jones, M W Dalton, L H Townley"
Length polymorphism in the threonine-glycine-encoding repeat region of the period gene in Drosophila,1904500,10.1007/BF02342746,"Single-fly polymerase chain reaction amplification and direct DNA sequencing revealed high levels of length polymorphism in the threonine-glycine encoding repeat region of the period (per) gene in natural populations of Drosophila melanogaster. DNA comparison of two alleles of identical lengths gave a high number of synonymous substitutions suggesting an ancient time of separation. However detailed examination of the sequences of different Thr-Gly length variants indicated that this divergence could be understood in terms of four deletion/insertion events. In Drosophila pseudoobscura a length polymorphism is observed in a five-amino acid degenerate repeat, which corresponds to melanogaster's Thr-Gly domain. In spite of the differences between D. melanogaster and D. pseudoobscura in the amino acid sequence of the repeats, the predicted secondary structures suggest evolutionary and mechanistic constraints on the per protein of these two species.",1991,"R Costa, A A Peixoto, J R Thackeray, R Dalgleish, C P Kyriacou, R Costa, A A Peixoto, J R Thackeray, R Dalgleish, C P Kyriacou"
"The embryonic expression patterns of zfh-1 and zfh-2, two Drosophila genes encoding novel zinc-finger homeodomain proteins",1680377,10.1016/0925-4773(91)90049-c,"The zfh-1 and zfh-2 genes of D. melanogaster encode novel proteins containing both homeodomain and C2-H2 zinc-finger DNA-binding motifs. Antisera against these proteins were used to investigate their expression patterns during embryonic development. The zfh-1 gene is expressed in the mesoderm of early embryos and in a number of mesodermally-derived structures of late embryos, including the dorsal vessel, support cells of the gonads, and segment-specific arrays of adult muscle precursors. In addition, zfh-1 is expressed in the majority of identified motor neurons of the developing CNS. The mesodermal zfh-1 expression requires the products of the twist and snail genes. The zfh-2 gene displays a more limited expression pattern, largely restricted to the CNS of late embryos. Ubiquitous zfh-1 expression in transgenic flies bearing an hsp70-zfh-1 construct has specific developmental consequences, including embryonic CNS defects as well as adult eye and bristle abnormalities. The expression patterns of zfh-1 and zfh-2 suggest that both genes may be involved in Drosophila neurogenesis and that zfh-1 may have additional functions in mesoderm development.",1991,"Z C Lai, M E Fortini, G M Rubin, Z C Lai, M E Fortini, G M Rubin"
[Non-random distribution of spontaneous and high temperature-induced recessive lethal mutations in the X-chromosome of Drosophila],1778461,,"Frequency and localization of spontaneous and induced by high temperature (37 degrees C) recessive lethal mutations in X-chromosome of females belonging to the 1(1) ts 403 strain defective in synthesis of heat-shock proteins (HSP) were studied. No differences in frequencies of both spontaneous and induced lethals between 1(1) ts 403 and control strain were found, thus implying that the disturbances in HSP synthesis have no effect on this process in oocytes of Drosophila melanogaster females. Surprisingly, distribution of spontaneous and induced lethals along the X-chromosome of 1(1) ts 403 strain appeared to be non-random: they primarily are located in its distal portion (1-44 cM of genetic map or in I-II sections of the Bridges cytogenetic map). This correlates with non-random distribution of mobile elements in the X-chromosome of D. melanogaster (Leibovich, 1990).",1991,"L A Mamon, L V Barabanova, L A Mamon, L V Barabanova"
Properties of photoreceptor-specific phospholipase C encoded by the norpA gene of Drosophila melanogaster,1662208,,"Mutations in the norpA gene drastically affect the phototransduction process in Drosophila. To study the biochemical characteristics of the norpA protein and its cellular and subcellular distributions, we have generated antisera against the major gene product of norpA. The antisera recognize an eye-specific protein of 130-kDa relative molecular mass that is present in wild-type head extracts but not in those of strong norpA mutants. The protein is associated with membranes and can be extracted with high salt. Immunohistochemical analysis at the light and electron microscopic levels indicates that the protein is expressed in all adult photoreceptor cells and specifically localized within the rhabdomeres, preferentially adjacent to, but not within, the rhabdomeric membranes. The results of the present study strongly support the previous suggestion that the norpA gene encodes the major phosphoinositol-specific phospholipase C in the photoreceptors. Moreover, insofar as the rhabdomeres are specialized structures for photoreception and phototransduction, specific localization of the norpA protein within these structures, in close association with the membranes, is consistent with the proposal that it has an important role in phototransduction.",1991,"S Schneuwly, M G Burg, C Lending, M H Perdew, W L Pak, S Schneuwly, M G Burg, C Lending, M H Perdew, W L Pak"
Expression of carbohydrate epitopes L2/HNK-1 and L3 in the larva and imago of Drosophila melanogaster and Calliphora vicina,1723933,10.1007/BF00340883,"The carbohydrate epitopes L2/HNK-1 and L3 belong to two overlapping families of adhesion molecules in the vertebrate, and probably the invertebrate nervous systems. To investigate their pattern of expression during the development of insects, cryosections of late third instar larvae and imagoes of Drosophila melanogaster and Calliphora vicina were studied by indirect immunofluorescence using several monoclonal antibodies to the L2/HNK-1 and one monoclonal antibody to the L3 epitope. Each monoclonal antibody to the L2/HNK-1 epitope showed a different immunohistological staining pattern, which differed from that of the L3 monoclonal antibody. In both insect species the immunohistological staining patterns for the two carbohydrate epitopes were similar at the two developmental stages, with immunoreactivity not confined to the nervous system. In larvae, immunoreactivities of the monoclonal antibodies L2.334 and L3.492 were predominantly associated with the extracellular matrix as indicated by co-localization with laminin, particularly in the imaginal discs, while L2.349 revealed a more cell surface-associated distribution. In imagoes, immunoreactivities were detectable in most organs studied.",1991,"R D Dennis, R Martini, M Schachner, R D Dennis, R Martini, M Schachner"
Organizational analysis of elav gene and functional analysis of ELAV protein of Drosophila melanogaster and Drosophila virilis,1903840,10.1128/mcb.11.6.2994,"Drosophila virilis genomic DNA corresponding to the D. melanogaster embryonic lethal abnormal visual system (elav) locus was cloned. DNA sequence analysis of a 3.8-kb genomic piece allowed identification of (i) an open reading frame (ORF) with striking homology to the previously identified D. melanogaster ORF and (ii) conserved sequence elements of possible regulatory relevance within and flanking the second intron. Conceptual translation of the D. virilis ORF predicts a 519-amino-acid-long ribonucleoprotein consensus sequence-type protein. Similar to D. melanogaster ELAV protein, it contains three tandem RNA-binding domains and an alanine/glutamine-rich amino-terminal region. The sequence throughout the RNA-binding domains, comprising the carboxy-terminal 346 amino acids, shows an extraordinary 100% identity at the amino acid level, indicating a strong structural constraint for this functional domain. The amino-terminal region is 36 amino acids longer in D. virilis, and the conservation is 66%. In in vivo functional tests, the D. virilis ORF was indistinguishable from the D. melanogaster ORF. Furthermore, a D. melanogaster ORF encoding an ELAV protein with a 40-amino-acid deletion within the alanine/glutamine-rich region was also able to supply elav function in vivo. Thus, the divergence of the amino-terminal region of the ELAV protein reflects lowered functional constraint rather than species-specific functional specification.",1991,"K M Yao, K White, K M Yao, K White"
Effects of chemical and physical agents on recombination events in cells of the germ line of male and female Drosophila melanogaster,1658639,10.1016/0027-5107(91)90183-o,"Genotoxic agents can induce mutations as well as recombination in the genetic material. The fruit fly Drosophila melanogaster was one of the first assay systems to test physical and chemical agents for recombinogenic effects. Such effects can be observed in cells of the germ line as well as in somatic cells. At present information is available on 54 agents, among them 48 chemicals that have been tested in cells of the germ line of males and/or females. Effects on meiotic recombination in female germ cells cannot simply be classified as positive or negative since for a number of agents, depending on the chromosome region studied, recombination frequencies may be increased, unaffected or decreased. The male germ line of D. melanogaster represents a unique situation because meiotic recombination does not occur. Among 25 agents tested in male germ cells 24 did induce male recombination, among them alkylating, intercalating and cross-linking agents, direct-acting ones as well as compounds needing metabolic activation. With several compounds the frequency of induced recombination is highest in the heterochromatic regions near the centromeres. In brood pattern analyses, e.g., after exposure of adult males to ionizing radiation, the first appearance of crossover progeny is indicative of the sampling of exposed spermatocytes. In premeiotic cells of the male and the female germ line mitotic recombination can occur. Upon clonal expansion of the recombinant cells, clusters of identical crossovers can be observed.",1991,"F E WÃ¼rgler, F E WÃ¼rgler"
The complex genetic locus polyhomeotic in Drosophila melanogaster potentially encodes two homologous zinc-finger proteins,1937015,10.1016/0378-1119(91)90150-a,"Differential expression of the homeotic gene complexes, ANT-C and BX-C, of Drosophila melanogaster is partly controlled by trans-regulating factors located outside the two complexes. The complex genetic locus, polyhomeotic (ph), is one of these trans regulators required during development for correct expression of the homeotic selector genes. The ph locus comprises two genetically independent units whose functions are largely redundant. There are two duplicated sequences arranged as a tandem repeat in the ph region, defining two molecular ph units. Sequence analysis of the 28.6 kb of DNA comprising the locus shows varying degrees of sequence conservation between these two molecular units. Long open reading frames with a high degree of conservation have been localized in each tandem repeat. Putative protein products encoded by both the proximal and the distal unit contain several identical or practically identical protein domains: a zinc-finger-forming motif, an alpha-helix motif, a domain rich in serine and threonine residues and stretches of glutamine residues. The presence of these protein domains supports the hypothesis that ph encodes a transcription factor that may function as part of a protein complex. Possible molecular mechanisms leading to the particular structure of the locus are discussed.",1991,"J Deatrick, M Daly, N B Randsholt, H W Brock, J Deatrick, M Daly, N B Randsholt, H W Brock"
Molecular cloning and analysis of forked locus in Drosophila ananassae,1851948,10.1007/BF00273582,"Drosophila ananassae, in spite of its unique genetic characters including high mutability and high frequency of male recombination has been little studied at the molecular level. Since the species is very similar to D. melanogaster, it is natural to expect that the high spontaneous mutation rate and male recombination may be caused by inserted mobile DNA elements, as in D. melanogaster. The present study was designed to determine whether or not most spontaneous mutations of the forked locus of D. ananassae are caused by insertion sequences as is found in D. melanogaster. I cloned the forked locus of D. ananassae, using forked DNA from D. melanogaster as a probe and investigated the molecular structure and transcription of the gene by Southern and Northern analyses. The results suggest that the restriction map and transcriptional patterns of the forked locus of D. ananassae are similar to those of D. melanogaster, while the spontaneous mutations available in D. ananassae are induced quite differently from those that have been described in D. melanogaster; in four (f;cd, f10-14, f49 and f86) out of eight forked alleles, neither insertions nor deletions were detected around the forked coding region. Forked transcripts are expressed in a pattern which is very similar to that of D. melanogaster and were all of normal size in these mutants. The other four mutants (f10-3, f9-10, f83i and f79b) had insertion sequences upstream of the forked coding region, while transcripts of the forked gene were of normal size. Hence, none of the eight mutations studied appear to affect the structure of the forked transcripts.",1991,"Y Hatano, Y Hatano"
Ecdysterone decreases the transcription level of the retrotransposons 1731 and 412 in a Drosophila cell line,1711928,,"Cultured Drosophila melanogaster cells are responsive to the steroid hormone 20-hydroxyecdysone (ecdysterone). The transcripts of two copia-like transposable elements, 412 and 1731 were examined in cells treated for different lengths of time by the hormone. Using dot-blot and Northern-blot analysis, we have shown that the transcripts of these two retrotransposons were rapidly decreased by ecdysterone treatment.",1991,"J Becker, D Micard, J L Becker, F Fourcade-Peronnet, B Dastugue, M Best-Belpomme, J Becker, D Micard, J L Becker, F Fourcade-Peronnet, B Dastugue, M Best-Belpomme"
